"Result","U:0","U:1","U:2","T","T_0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.83809e+00,1.10490e-01,4.14101e-06,-4.44638e-25,3.94440e-04,3.94440e-04,1,1.79656e+00,1.79656e+00,9.55615e-01,0.00000e+00
-7.88691e+00,1.16653e-01,1.64737e-06,1.44239e-25,3.75655e-04,3.75655e-04,1,1.83478e+00,1.83478e+00,9.55615e-01,0.00000e+00
-7.94499e+00,1.20376e-01,8.08931e-07,-4.14860e-26,3.54455e-04,3.54455e-04,1,1.87301e+00,1.87301e+00,9.55615e-01,0.00000e+00
-8.01179e+00,1.21658e-01,1.20858e-06,5.74898e-25,3.31530e-04,3.31530e-04,1,1.91123e+00,1.91123e+00,9.55615e-01,0.00000e+00
-8.08696e+00,1.20384e-01,8.37165e-07,-9.56840e-25,3.07552e-04,3.07552e-04,1,1.94945e+00,1.94945e+00,9.55615e-01,0.00000e+00
-8.16868e+00,1.16661e-01,-1.27845e-06,1.02279e-24,2.83442e-04,2.83442e-04,1,1.98768e+00,1.98768e+00,9.55615e-01,0.00000e+00
-8.25753e+00,1.10503e-01,-3.90718e-06,-2.12531e-25,2.59355e-04,2.59355e-04,1,2.02590e+00,2.02590e+00,9.55615e-01,0.00000e+00
-8.35316e+00,1.02029e-01,1.65667e-06,-1.51000e-25,2.35698e-04,2.35698e-04,1,2.06413e+00,2.06413e+00,9.55615e-01,0.00000e+00
-8.45774e+00,9.12238e-02,8.22661e-06,1.94259e-25,2.12262e-04,2.12262e-04,1,2.10235e+00,2.10235e+00,9.55615e-01,0.00000e+00
-8.57332e+00,7.81611e-02,1.09055e-05,2.55697e-25,1.89129e-04,1.89129e-04,1,2.14058e+00,2.14058e+00,9.55615e-01,0.00000e+00
-8.70184e+00,6.32771e-02,1.01767e-05,1.38390e-25,1.66352e-04,1.66352e-04,1,2.17880e+00,2.17880e+00,9.55615e-01,0.00000e+00
-8.84599e+00,4.72605e-02,1.22523e-05,-8.32004e-25,1.44009e-04,1.44009e-04,1,2.21703e+00,2.21703e+00,9.55615e-01,0.00000e+00
-9.01240e+00,3.09788e-02,9.57983e-06,1.47024e-24,1.21929e-04,1.21929e-04,1,2.25525e+00,2.25525e+00,9.55615e-01,0.00000e+00
-9.20845e+00,1.61454e-02,5.87167e-06,-1.92023e-24,1.00288e-04,1.00288e-04,1,2.29348e+00,2.29348e+00,9.55615e-01,0.00000e+00
-9.45631e+00,4.49626e-03,3.02865e-06,2.53642e-24,7.82247e-05,7.82247e-05,1,2.33170e+00,2.33170e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.36993e+00,2.36993e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.40815e+00,2.40815e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.44637e+00,2.44637e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.48460e+00,2.48460e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.52282e+00,2.52282e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.56105e+00,2.56105e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.59927e+00,2.59927e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.63750e+00,2.63750e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.67572e+00,2.67572e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.71395e+00,2.71395e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.75217e+00,2.75217e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.79040e+00,2.79040e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.82862e+00,2.82862e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.86685e+00,2.86685e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.90507e+00,2.90507e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.94329e+00,2.94329e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,2.98152e+00,2.98152e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,3.01974e+00,3.01974e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,3.05797e+00,3.05797e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,3.09619e+00,3.09619e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,3.13442e+00,3.13442e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,3.17264e+00,3.17264e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,3.21087e+00,3.21087e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,3.24909e+00,3.24909e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,3.28732e+00,3.28732e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,3.32554e+00,3.32554e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,3.36377e+00,3.36377e+00,9.55615e-01,0.00000e+00
-1.63303e+01,4.49342e-03,-2.92874e-06,4.99788e-24,8.08958e-08,8.08958e-08,1,3.40199e+00,3.40199e+00,9.55615e-01,0.00000e+00
-1.61468e+01,1.61382e-02,-5.81894e-06,-1.40400e-24,9.72079e-08,9.72079e-08,1,3.44021e+00,3.44021e+00,9.55615e-01,0.00000e+00
-1.60353e+01,3.09653e-02,-9.15385e-06,1.68071e-24,1.08636e-07,1.08636e-07,1,3.47844e+00,3.47844e+00,9.55615e-01,0.00000e+00
-1.59695e+01,4.72456e-02,-1.19943e-05,-1.38080e-24,1.16021e-07,1.16021e-07,1,3.51666e+00,3.51666e+00,9.55615e-01,0.00000e+00
-1.59366e+01,6.32591e-02,-1.00036e-05,3.44177e-25,1.19896e-07,1.19896e-07,1,3.55489e+00,3.55489e+00,9.55615e-01,0.00000e+00
-1.59280e+01,7.81437e-02,-1.07325e-05,-3.03849e-26,1.20939e-07,1.20939e-07,1,3.59311e+00,3.59311e+00,9.55615e-01,0.00000e+00
-1.59386e+01,9.12076e-02,-7.92216e-06,4.98030e-25,1.19661e-07,1.19661e-07,1,3.63134e+00,3.63134e+00,9.55615e-01,0.00000e+00
-1.59650e+01,1.02015e-01,-1.65561e-06,-4.52840e-25,1.16547e-07,1.16547e-07,1,3.66956e+00,3.66956e+00,9.55615e-01,0.00000e+00
-1.60037e+01,1.10492e-01,4.04669e-06,1.27162e-25,1.12127e-07,1.12127e-07,1,3.70779e+00,3.70779e+00,9.55615e-01,0.00000e+00
-1.60535e+01,1.16653e-01,1.55173e-06,-7.62820e-25,1.06683e-07,1.06683e-07,1,3.74601e+00,3.74601e+00,9.55615e-01,0.00000e+00
-1.61126e+01,1.20377e-01,7.28055e-07,7.84762e-25,1.00557e-07,1.00557e-07,1,3.78424e+00,3.78424e+00,9.55615e-01,0.00000e+00
-1.61805e+01,1.21658e-01,1.13159e-06,-3.11842e-25,9.39489e-08,9.39489e-08,1,3.82246e+00,3.82246e+00,9.55615e-01,0.00000e+00
-1.62569e+01,1.20383e-01,7.57023e-07,-3.08631e-25,8.70522e-08,8.70522e-08,1,3.86068e+00,3.86068e+00,9.55615e-01,0.00000e+00
-1.63397e+01,1.16661e-01,-1.36662e-06,7.83676e-25,8.01346e-08,8.01346e-08,1,3.89891e+00,3.89891e+00,9.55615e-01,0.00000e+00
-1.64298e+01,1.10503e-01,-4.02125e-06,3.38510e-25,7.32381e-08,7.32381e-08,1,3.93713e+00,3.93713e+00,9.55615e-01,0.00000e+00
-1.65266e+01,1.02030e-01,1.63994e-06,-2.21519e-25,6.64800e-08,6.64800e-08,1,3.97536e+00,3.97536e+00,9.55615e-01,0.00000e+00
-1.66323e+01,9.12236e-02,8.15595e-06,-1.84331e-25,5.97999e-08,5.97999e-08,1,4.01358e+00,4.01358e+00,9.55615e-01,0.00000e+00
-1.67490e+01,7.81611e-02,1.08006e-05,3.71685e-26,5.32235e-08,5.32235e-08,1,4.05181e+00,4.05181e+00,9.55615e-01,0.00000e+00
-1.68786e+01,6.32771e-02,1.01247e-05,-1.34516e-25,4.67642e-08,4.67642e-08,1,4.09003e+00,4.09003e+00,9.55615e-01,0.00000e+00
-1.70237e+01,4.72611e-02,1.21045e-05,-1.82688e-24,4.04442e-08,4.04442e-08,1,4.12826e+00,4.12826e+00,9.55615e-01,0.00000e+00
