"Result","T","T_0","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.10130e+00,3.25610e-03,3.25610e-03,9.47155e-02,0.00000e+00,0.00000e+00,1,1.41431e+00,1.41431e+00,9.55614e-01,0.00000e+00
-6.26620e+00,3.02583e-03,3.02583e-03,9.47155e-02,0.00000e+00,0.00000e+00,1,1.45253e+00,1.45253e+00,9.55614e-01,0.00000e+00
-6.43110e+00,2.79556e-03,2.79556e-03,9.47155e-02,0.00000e+00,0.00000e+00,1,1.49076e+00,1.49076e+00,9.55614e-01,0.00000e+00
-6.59600e+00,2.56529e-03,2.56529e-03,9.47155e-02,0.00000e+00,0.00000e+00,1,1.52898e+00,1.52898e+00,9.55614e-01,0.00000e+00
-6.76090e+00,2.33502e-03,2.33502e-03,9.47155e-02,0.00000e+00,0.00000e+00,1,1.56721e+00,1.56721e+00,9.55614e-01,0.00000e+00
-6.92580e+00,2.10474e-03,2.10474e-03,9.47155e-02,0.00000e+00,0.00000e+00,1,1.60543e+00,1.60543e+00,9.55614e-01,0.00000e+00
-7.09070e+00,1.87447e-03,1.87447e-03,9.47155e-02,0.00000e+00,0.00000e+00,1,1.64366e+00,1.64366e+00,9.55614e-01,0.00000e+00
-7.25560e+00,1.64420e-03,1.64420e-03,9.47155e-02,0.00000e+00,0.00000e+00,1,1.68188e+00,1.68188e+00,9.55614e-01,0.00000e+00
-7.42050e+00,1.41393e-03,1.41393e-03,9.47155e-02,0.00000e+00,0.00000e+00,1,1.72011e+00,1.72011e+00,9.55614e-01,0.00000e+00
-7.58541e+00,1.18365e-03,1.18365e-03,9.47155e-02,0.00000e+00,0.00000e+00,1,1.75833e+00,1.75833e+00,9.55614e-01,0.00000e+00
-7.75031e+00,9.53382e-04,9.53382e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,1.79655e+00,1.79655e+00,9.55614e-01,0.00000e+00
-7.91521e+00,7.23110e-04,7.23110e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,1.83478e+00,1.83478e+00,9.55614e-01,0.00000e+00
-8.08011e+00,4.92838e-04,4.92838e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,1.87300e+00,1.87300e+00,9.55614e-01,0.00000e+00
-8.24501e+00,2.62566e-04,2.62566e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,1.91123e+00,1.91123e+00,9.55614e-01,0.00000e+00
-8.40991e+00,2.47821e-04,2.47821e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,1.94945e+00,1.94945e+00,9.55614e-01,0.00000e+00
-8.57482e+00,2.33075e-04,2.33075e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,1.98768e+00,1.98768e+00,9.55614e-01,0.00000e+00
-8.73972e+00,2.18330e-04,2.18330e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,2.02590e+00,2.02590e+00,9.55614e-01,0.00000e+00
-8.90463e+00,2.03585e-04,2.03585e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,2.06413e+00,2.06413e+00,9.55614e-01,0.00000e+00
-9.06953e+00,1.88840e-04,1.88840e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,2.10235e+00,2.10235e+00,9.55614e-01,0.00000e+00
-9.23444e+00,1.74094e-04,1.74094e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,2.14058e+00,2.14058e+00,9.55614e-01,0.00000e+00
-9.39934e+00,1.59349e-04,1.59349e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,2.17880e+00,2.17880e+00,9.55614e-01,0.00000e+00
-9.56425e+00,1.44604e-04,1.44604e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,2.21702e+00,2.21702e+00,9.55614e-01,0.00000e+00
-9.72915e+00,1.29859e-04,1.29859e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,2.25525e+00,2.25525e+00,9.55614e-01,0.00000e+00
