Time	inlet	inlet	outlet	outlet	solid	solid	 volume 	 average
30	-7.06375e-06	0.951472	7.06375e-06	0.951472	4.15011	3	0.174723	1
31	-7.04477e-06	0.948916	7.04477e-06	0.948916	4.15011	3	0.174723	1
32	-7.02561e-06	0.946335	7.02561e-06	0.946335	4.15011	3	0.174723	1
33	-7.00628e-06	0.94373	7.00628e-06	0.94373	4.15011	3	0.174723	1
34	-6.98677e-06	0.941103	6.98677e-06	0.941103	4.15011	3	0.174723	1
35	-6.9671e-06	0.938454	6.9671e-06	0.938454	4.15011	3	0.174723	1
36	-6.94728e-06	0.935784	6.94728e-06	0.935784	4.15011	3	0.174723	1
37	-6.92731e-06	0.933095	6.92731e-06	0.933095	4.15011	3	0.174723	1
38	-6.90721e-06	0.930386	6.90721e-06	0.930386	4.15011	3	0.174723	1
39	-6.88697e-06	0.92766	6.88697e-06	0.92766	4.15011	3	0.174723	1
40	-6.8666e-06	0.924916	6.8666e-06	0.924916	4.15011	3	0.174723	1
41	-6.84611e-06	0.922156	6.84611e-06	0.922156	4.15011	3	0.174723	1
42	-6.8255e-06	0.91938	6.8255e-06	0.91938	4.15011	3	0.174723	1
43	-6.80478e-06	0.916589	6.80478e-06	0.916589	4.15011	3	0.174723	1
44	-6.78395e-06	0.913784	6.78395e-06	0.913784	4.15011	3	0.174723	1
45	-6.76302e-06	0.910965	6.76302e-06	0.910965	4.15011	3	0.174723	1
46	-6.74199e-06	0.908132	6.74199e-06	0.908132	4.15011	3	0.174723	1
47	-6.72087e-06	0.905286	6.72087e-06	0.905286	4.15011	3	0.174723	1
48	-6.69965e-06	0.902429	6.69965e-06	0.902429	4.15011	3	0.174723	1
49	-6.67835e-06	0.899559	6.67835e-06	0.899559	4.15011	3	0.174723	1
50	-6.65696e-06	0.896678	6.65696e-06	0.896678	4.15011	3	0.174723	1
51	-6.63549e-06	0.893787	6.63549e-06	0.893787	4.15011	3	0.174723	1
52	-6.61395e-06	0.890885	6.61395e-06	0.890885	4.15011	3	0.174723	1
53	-6.59233e-06	0.887973	6.59233e-06	0.887973	4.15011	3	0.174723	1
54	-6.57064e-06	0.885051	6.57064e-06	0.885051	4.15011	3	0.174723	1
55	-6.54888e-06	0.88212	6.54888e-06	0.88212	4.15011	3	0.174723	1
56	-6.52705e-06	0.87918	6.52705e-06	0.87918	4.15011	3	0.174723	1
