"alpha","alpha_0","mu","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.8955,-0.89491,0.12927,1,0.958,0.958,0.5,0
-0.89578,-0.89519,0.12943,1,0.959,0.959,0.5,0
-0.89607,-0.89548,0.12959,1,0.96,0.96,0.5,0
-0.89627,-0.89568,0.12972,1,0.961,0.961,0.5,0
-0.89647,-0.89588,0.12985,1,0.962,0.962,0.5,0
-0.89667,-0.89608,0.12998,1,0.963,0.963,0.5,0
-0.89687,-0.89628,0.1301,1,0.964,0.964,0.5,0
-0.89708,-0.89649,0.13023,1,0.965,0.965,0.5,0
-0.89728,-0.89669,0.13036,1,0.966,0.966,0.5,0
-0.89748,-0.89689,0.13049,1,0.967,0.967,0.5,0
-0.89768,-0.89709,0.13062,1,0.968,0.968,0.5,0
-0.89789,-0.89729,0.13074,1,0.969,0.969,0.5,0
-0.89809,-0.8975,0.13087,1,0.97,0.97,0.5,0
-0.89822,-0.89763,0.13096,1,0.971,0.971,0.5,0
-0.89836,-0.89777,0.13106,1,0.972,0.972,0.5,0
-0.89849,-0.8979,0.13115,1,0.973,0.973,0.5,0
-0.89863,-0.89804,0.13124,1,0.974,0.974,0.5,0
-0.89876,-0.89817,0.13133,1,0.975,0.975,0.5,0
-0.8989,-0.89831,0.13142,1,0.976,0.976,0.5,0
-0.89903,-0.89844,0.13151,1,0.977,0.977,0.5,0
-0.89917,-0.89858,0.13161,1,0.978,0.978,0.5,0
-0.8993,-0.89871,0.1317,1,0.979,0.979,0.5,0
-0.89944,-0.89885,0.13179,1,0.98,0.98,0.5,0
-0.89952,-0.89893,0.13185,1,0.981,0.981,0.5,0
-0.89959,-0.899,0.1319,1,0.982,0.982,0.5,0
-0.89967,-0.89908,0.13196,1,0.983,0.983,0.5,0
-0.89975,-0.89916,0.13201,1,0.984,0.984,0.5,0
-0.89982,-0.89923,0.13207,1,0.985,0.985,0.5,0
-0.8999,-0.89931,0.13213,1,0.986,0.986,0.5,0
-0.89998,-0.89939,0.13218,1,0.987,0.987,0.5,0
-0.90005,-0.89946,0.13224,1,0.988,0.988,0.5,0
-0.90013,-0.89954,0.13229,1,0.989,0.989,0.5,0
-0.90021,-0.89962,0.13235,1,0.99,0.99,0.5,0
-0.90023,-0.89964,0.13237,1,0.991,0.991,0.5,0
-0.90026,-0.89967,0.13239,1,0.992,0.992,0.5,0
-0.90028,-0.89969,0.13241,1,0.993,0.993,0.5,0
-0.90031,-0.89972,0.13243,1,0.994,0.994,0.5,0
-0.90033,-0.89974,0.13245,1,0.995,0.995,0.5,0
-0.90035,-0.89977,0.13247,1,0.996,0.996,0.5,0
-0.90038,-0.89979,0.13248,1,0.997,0.997,0.5,0
-0.9004,-0.89981,0.1325,1,0.998,0.998,0.5,0
-0.90043,-0.89984,0.13252,1,0.999,0.999,0.5,0
-0.90045,-0.89986,0.13254,1,1,1,0.5,0
