"alpha","alpha_0","mu","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.93211,-0.93114,0.023672,1,0.095,0.5,0.095,0
-0.93107,-0.9301,0.023605,1,0.096,0.5,0.096,0
-0.93002,-0.92905,0.023537,1,0.097,0.5,0.097,0
-0.92898,-0.92801,0.02347,1,0.098,0.5,0.098,0
-0.92793,-0.92696,0.023403,1,0.099,0.5,0.099,0
-0.92689,-0.92592,0.023335,1,0.1,0.5,0.1,0
-0.92557,-0.92459,0.02326,1,0.101,0.5,0.101,0
-0.92425,-0.92327,0.023185,1,0.102,0.5,0.102,0
-0.92292,-0.92195,0.023109,1,0.103,0.5,0.103,0
-0.9216,-0.92063,0.023034,1,0.104,0.5,0.104,0
-0.92028,-0.91931,0.022959,1,0.105,0.5,0.105,0
-0.91896,-0.91799,0.022883,1,0.106,0.5,0.106,0
-0.91764,-0.91667,0.022808,1,0.107,0.5,0.107,0
-0.91632,-0.91535,0.022733,1,0.108,0.5,0.108,0
-0.915,-0.91403,0.022657,1,0.109,0.5,0.109,0
-0.91368,-0.91271,0.022582,1,0.11,0.5,0.11,0
-0.91202,-0.91105,0.022498,1,0.111,0.5,0.111,0
-0.91036,-0.90939,0.022415,1,0.112,0.5,0.112,0
-0.9087,-0.90773,0.022331,1,0.113,0.5,0.113,0
-0.90704,-0.90606,0.022247,1,0.114,0.5,0.114,0
-0.90538,-0.9044,0.022163,1,0.115,0.5,0.115,0
-0.90372,-0.90274,0.02208,1,0.116,0.5,0.116,0
-0.90206,-0.90108,0.021996,1,0.117,0.5,0.117,0
-0.90039,-0.89942,0.021912,1,0.118,0.5,0.118,0
-0.89873,-0.89776,0.021828,1,0.119,0.5,0.119,0
-0.89707,-0.8961,0.021745,1,0.12,0.5,0.12,0
-0.895,-0.89402,0.021652,1,0.121,0.5,0.121,0
-0.89292,-0.89195,0.021559,1,0.122,0.5,0.122,0
-0.89084,-0.88987,0.021466,1,0.123,0.5,0.123,0
-0.88876,-0.88779,0.021374,1,0.124,0.5,0.124,0
-0.88669,-0.88572,0.021281,1,0.125,0.5,0.125,0
-0.88461,-0.88364,0.021188,1,0.126,0.5,0.126,0
-0.88253,-0.88156,0.021095,1,0.127,0.5,0.127,0
-0.88045,-0.87948,0.021003,1,0.128,0.5,0.128,0
-0.87838,-0.87741,0.02091,1,0.129,0.5,0.129,0
-0.8763,-0.87533,0.020817,1,0.13,0.5,0.13,0
-0.87372,-0.87275,0.020715,1,0.131,0.5,0.131,0
-0.87113,-0.87016,0.020612,1,0.132,0.5,0.132,0
-0.86855,-0.86758,0.02051,1,0.133,0.5,0.133,0
-0.86597,-0.865,0.020407,1,0.134,0.5,0.134,0
-0.86338,-0.86241,0.020305,1,0.135,0.5,0.135,0
-0.8608,-0.85983,0.020202,1,0.136,0.5,0.136,0
-0.85821,-0.85725,0.0201,1,0.137,0.5,0.137,0
-0.85563,-0.85466,0.019997,1,0.138,0.5,0.138,0
-0.85305,-0.85208,0.019895,1,0.139,0.5,0.139,0
-0.85046,-0.8495,0.019792,1,0.14,0.5,0.14,0
-0.84727,-0.84631,0.019679,1,0.141,0.5,0.141,0
-0.84408,-0.84311,0.019566,1,0.142,0.5,0.142,0
-0.84089,-0.83992,0.019453,1,0.143,0.5,0.143,0
-0.8377,-0.83673,0.01934,1,0.144,0.5,0.144,0
-0.83451,-0.83354,0.019227,1,0.145,0.5,0.145,0
-0.83131,-0.83035,0.019114,1,0.146,0.5,0.146,0
-0.82812,-0.82716,0.019001,1,0.147,0.5,0.147,0
-0.82493,-0.82397,0.018888,1,0.148,0.5,0.148,0
-0.82174,-0.82078,0.018775,1,0.149,0.5,0.149,0
-0.81855,-0.81759,0.018662,1,0.15,0.5,0.15,0
-0.81464,-0.81368,0.018538,1,0.151,0.5,0.151,0
-0.81073,-0.80977,0.018413,1,0.152,0.5,0.152,0
-0.80681,-0.80586,0.018289,1,0.153,0.5,0.153,0
-0.8029,-0.80195,0.018164,1,0.154,0.5,0.154,0
-0.79899,-0.79804,0.018039,1,0.155,0.5,0.155,0
-0.79508,-0.79413,0.017915,1,0.156,0.5,0.156,0
-0.79117,-0.79022,0.01779,1,0.157,0.5,0.157,0
-0.78726,-0.78631,0.017666,1,0.158,0.5,0.158,0
-0.78335,-0.7824,0.017541,1,0.159,0.5,0.159,0
-0.77944,-0.7785,0.017416,1,0.16,0.5,0.16,0
-0.77469,-0.77375,0.017279,1,0.161,0.5,0.161,0
-0.76995,-0.76901,0.017142,1,0.162,0.5,0.162,0
-0.7652,-0.76427,0.017005,1,0.163,0.5,0.163,0
-0.76046,-0.75953,0.016867,1,0.164,0.5,0.164,0
-0.75571,-0.75478,0.01673,1,0.165,0.5,0.165,0
-0.75097,-0.75004,0.016593,1,0.166,0.5,0.166,0
-0.74622,-0.7453,0.016456,1,0.167,0.5,0.167,0
-0.74148,-0.74055,0.016318,1,0.168,0.5,0.168,0
-0.73673,-0.73581,0.016181,1,0.169,0.5,0.169,0
-0.73199,-0.73107,0.016044,1,0.17,0.5,0.17,0
-0.7263,-0.72538,0.015893,1,0.171,0.5,0.171,0
-0.72061,-0.7197,0.015741,1,0.172,0.5,0.172,0
-0.71492,-0.71401,0.01559,1,0.173,0.5,0.173,0
-0.70923,-0.70833,0.015439,1,0.174,0.5,0.174,0
-0.70354,-0.70264,0.015288,1,0.175,0.5,0.175,0
-0.69785,-0.69696,0.015137,1,0.176,0.5,0.176,0
-0.69216,-0.69127,0.014986,1,0.177,0.5,0.177,0
-0.68647,-0.68558,0.014835,1,0.178,0.5,0.178,0
-0.68078,-0.6799,0.014684,1,0.179,0.5,0.179,0
-0.67509,-0.67421,0.014532,1,0.18,0.5,0.18,0
-0.66836,-0.66749,0.014367,1,0.181,0.5,0.181,0
-0.66164,-0.66077,0.014201,1,0.182,0.5,0.182,0
-0.65491,-0.65405,0.014035,1,0.183,0.5,0.183,0
-0.64818,-0.64733,0.013869,1,0.184,0.5,0.184,0
-0.64146,-0.64061,0.013703,1,0.185,0.5,0.185,0
-0.63473,-0.63389,0.013537,1,0.186,0.5,0.186,0
-0.628,-0.62717,0.013371,1,0.187,0.5,0.187,0
-0.62128,-0.62045,0.013205,1,0.188,0.5,0.188,0
-0.61455,-0.61373,0.013039,1,0.189,0.5,0.189,0
-0.60782,-0.607,0.012873,1,0.19,0.5,0.19,0
-0.6,-0.59919,0.012691,1,0.191,0.5,0.191,0
-0.59218,-0.59138,0.01251,1,0.192,0.5,0.192,0
-0.58436,-0.58357,0.012328,1,0.193,0.5,0.193,0
-0.57654,-0.57575,0.012147,1,0.194,0.5,0.194,0
-0.56872,-0.56794,0.011965,1,0.195,0.5,0.195,0
-0.5609,-0.56013,0.011784,1,0.196,0.5,0.196,0
-0.55308,-0.55232,0.011602,1,0.197,0.5,0.197,0
-0.54526,-0.5445,0.011421,1,0.198,0.5,0.198,0
-0.53744,-0.53669,0.011239,1,0.199,0.5,0.199,0
-0.52962,-0.52888,0.011057,1,0.2,0.5,0.2,0
-0.5207,-0.51997,0.01086,1,0.201,0.5,0.201,0
-0.51178,-0.51106,0.010663,1,0.202,0.5,0.202,0
-0.50287,-0.50216,0.010466,1,0.203,0.5,0.203,0
-0.49395,-0.49325,0.010269,1,0.204,0.5,0.204,0
-0.48503,-0.48434,0.010072,1,0.205,0.5,0.205,0
-0.47611,-0.47544,0.0098748,1,0.206,0.5,0.206,0
-0.46719,-0.46653,0.0096777,1,0.207,0.5,0.207,0
-0.45828,-0.45762,0.0094806,1,0.208,0.5,0.208,0
-0.44936,-0.44871,0.0092835,1,0.209,0.5,0.209,0
-0.44044,-0.43981,0.0090864,1,0.21,0.5,0.21,0
-0.43049,-0.42987,0.0088746,1,0.211,0.5,0.211,0
-0.42055,-0.41994,0.0086628,1,0.212,0.5,0.212,0
-0.4106,-0.41,0.008451,1,0.213,0.5,0.213,0
-0.40065,-0.40007,0.0082393,1,0.214,0.5,0.214,0
-0.39071,-0.39014,0.0080275,1,0.215,0.5,0.215,0
-0.38076,-0.3802,0.0078157,1,0.216,0.5,0.216,0
-0.37081,-0.37027,0.0076039,1,0.217,0.5,0.217,0
-0.36087,-0.36034,0.0073921,1,0.218,0.5,0.218,0
-0.35092,-0.3504,0.0071803,1,0.219,0.5,0.219,0
-0.34097,-0.34047,0.0069685,1,0.22,0.5,0.22,0
-0.33015,-0.32966,0.0067441,1,0.221,0.5,0.221,0
-0.31933,-0.31885,0.0065197,1,0.222,0.5,0.222,0
-0.3085,-0.30804,0.0062953,1,0.223,0.5,0.223,0
-0.29768,-0.29724,0.0060708,1,0.224,0.5,0.224,0
-0.28686,-0.28643,0.0058464,1,0.225,0.5,0.225,0
-0.27603,-0.27562,0.005622,1,0.226,0.5,0.226,0
-0.26521,-0.26481,0.0053976,1,0.227,0.5,0.227,0
-0.25438,-0.254,0.0051732,1,0.228,0.5,0.228,0
-0.24356,-0.24319,0.0049488,1,0.229,0.5,0.229,0
-0.23274,-0.23238,0.0047243,1,0.23,0.5,0.23,0
-0.22127,-0.22094,0.0044906,1,0.231,0.5,0.231,0
-0.2098,-0.20949,0.0042569,1,0.232,0.5,0.232,0
-0.19834,-0.19804,0.0040231,1,0.233,0.5,0.233,0
-0.18687,-0.18659,0.0037894,1,0.234,0.5,0.234,0
-0.1754,-0.17514,0.0035557,1,0.235,0.5,0.235,0
-0.16394,-0.16369,0.0033219,1,0.236,0.5,0.236,0
-0.15247,-0.15224,0.0030882,1,0.237,0.5,0.237,0
-0.141,-0.14079,0.0028545,1,0.238,0.5,0.238,0
-0.12954,-0.12934,0.0026207,1,0.239,0.5,0.239,0
-0.11807,-0.11789,0.002387,1,0.24,0.5,0.24,0
-0.10626,-0.1061,0.0021483,1,0.241,0.5,0.241,0
-0.094456,-0.094312,0.0019096,1,0.242,0.5,0.242,0
-0.082649,-0.082523,0.0016709,1,0.243,0.5,0.243,0
-0.070842,-0.070734,0.0014322,1,0.244,0.5,0.244,0
-0.059035,-0.058945,0.0011935,1,0.245,0.5,0.245,0
-0.047228,-0.047156,0.0009548,1,0.246,0.5,0.246,0
-0.035421,-0.035367,0.0007161,1,0.247,0.5,0.247,0
-0.023614,-0.023578,0.0004774,1,0.248,0.5,0.248,0
-0.011807,-0.011789,0.0002387,1,0.249,0.5,0.249,0
0,0,-5.8208e-11,1,0.25,0.5,0.25,0
0.011807,0.011789,-0.0002387,1,0.251,0.5,0.251,0
0.023614,0.023578,-0.0004774,1,0.252,0.5,0.252,0
0.035421,0.035367,-0.0007161,1,0.253,0.5,0.253,0
0.047228,0.047156,-0.0009548,1,0.254,0.5,0.254,0
0.059035,0.058945,-0.0011935,1,0.255,0.5,0.255,0
0.070843,0.070734,-0.0014322,1,0.256,0.5,0.256,0
0.082649,0.082523,-0.0016709,1,0.257,0.5,0.257,0
0.094456,0.094312,-0.0019096,1,0.258,0.5,0.258,0
0.10626,0.1061,-0.0021483,1,0.259,0.5,0.259,0
0.11807,0.11789,-0.002387,1,0.26,0.5,0.26,0
0.12954,0.12934,-0.0026207,1,0.261,0.5,0.261,0
0.141,0.14079,-0.0028545,1,0.262,0.5,0.262,0
0.15247,0.15224,-0.0030882,1,0.263,0.5,0.263,0
0.16394,0.16369,-0.0033219,1,0.264,0.5,0.264,0
0.1754,0.17514,-0.0035557,1,0.265,0.5,0.265,0
0.18687,0.18659,-0.0037894,1,0.266,0.5,0.266,0
0.19834,0.19804,-0.0040231,1,0.267,0.5,0.267,0
0.2098,0.20949,-0.0042569,1,0.268,0.5,0.268,0
0.22127,0.22094,-0.0044906,1,0.269,0.5,0.269,0
0.23274,0.23238,-0.0047243,1,0.27,0.5,0.27,0
0.24356,0.24319,-0.0049488,1,0.271,0.5,0.271,0
0.25438,0.254,-0.0051732,1,0.272,0.5,0.272,0
0.26521,0.26481,-0.0053976,1,0.273,0.5,0.273,0
0.27603,0.27562,-0.005622,1,0.274,0.5,0.274,0
0.28686,0.28643,-0.0058464,1,0.275,0.5,0.275,0
0.29768,0.29724,-0.0060708,1,0.276,0.5,0.276,0
0.3085,0.30804,-0.0062953,1,0.277,0.5,0.277,0
0.31933,0.31885,-0.0065197,1,0.278,0.5,0.278,0
0.33015,0.32966,-0.0067441,1,0.279,0.5,0.279,0
0.34097,0.34047,-0.0069685,1,0.28,0.5,0.28,0
0.35092,0.3504,-0.0071803,1,0.281,0.5,0.281,0
0.36087,0.36034,-0.0073921,1,0.282,0.5,0.282,0
0.37081,0.37027,-0.0076039,1,0.283,0.5,0.283,0
0.38076,0.3802,-0.0078157,1,0.284,0.5,0.284,0
0.39071,0.39014,-0.0080275,1,0.285,0.5,0.285,0
0.40065,0.40007,-0.0082393,1,0.286,0.5,0.286,0
0.4106,0.41001,-0.0084511,1,0.287,0.5,0.287,0
0.42055,0.41994,-0.0086628,1,0.288,0.5,0.288,0
0.43049,0.42987,-0.0088746,1,0.289,0.5,0.289,0
0.44044,0.43981,-0.0090864,1,0.29,0.5,0.29,0
0.44936,0.44871,-0.0092835,1,0.291,0.5,0.291,0
0.45828,0.45762,-0.0094806,1,0.292,0.5,0.292,0
0.46719,0.46653,-0.0096777,1,0.293,0.5,0.293,0
0.47611,0.47544,-0.0098748,1,0.294,0.5,0.294,0
0.48503,0.48434,-0.010072,1,0.295,0.5,0.295,0
0.49395,0.49325,-0.010269,1,0.296,0.5,0.296,0
0.50286,0.50216,-0.010466,1,0.297,0.5,0.297,0
0.51178,0.51106,-0.010663,1,0.298,0.5,0.298,0
0.5207,0.51997,-0.01086,1,0.299,0.5,0.299,0
0.52962,0.52888,-0.011057,1,0.3,0.5,0.3,0
0.53744,0.53669,-0.011239,1,0.301,0.5,0.301,0
0.54526,0.5445,-0.011421,1,0.302,0.5,0.302,0
0.55308,0.55232,-0.011602,1,0.303,0.5,0.303,0
0.5609,0.56013,-0.011784,1,0.304,0.5,0.304,0
0.56872,0.56794,-0.011965,1,0.305,0.5,0.305,0
0.57654,0.57575,-0.012147,1,0.306,0.5,0.306,0
0.58436,0.58357,-0.012328,1,0.307,0.5,0.307,0
0.59218,0.59138,-0.01251,1,0.308,0.5,0.308,0
0.6,0.59919,-0.012691,1,0.309,0.5,0.309,0
0.60782,0.607,-0.012873,1,0.31,0.5,0.31,0
0.61455,0.61373,-0.013039,1,0.311,0.5,0.311,0
0.62128,0.62045,-0.013205,1,0.312,0.5,0.312,0
0.628,0.62717,-0.013371,1,0.313,0.5,0.313,0
0.63473,0.63389,-0.013537,1,0.314,0.5,0.314,0
0.64146,0.64061,-0.013703,1,0.315,0.5,0.315,0
0.64818,0.64733,-0.013869,1,0.316,0.5,0.316,0
0.65491,0.65405,-0.014035,1,0.317,0.5,0.317,0
0.66164,0.66077,-0.014201,1,0.318,0.5,0.318,0
0.66836,0.66749,-0.014367,1,0.319,0.5,0.319,0
0.67509,0.67421,-0.014532,1,0.32,0.5,0.32,0
